speaker parallel100[min] nonpara30[min] whisper10[min] falset10[min]
jvs001 12.60 2.42 1.20 1.10
jvs002 12.14 2.31 1.09 1.08
jvs003 14.59 2.74 1.19 1.27
jvs004 13.16 2.56 1.05 1.10
jvs005 12.60 2.35 1.34 1.14
jvs006 13.98 2.63 1.47 1.37
jvs007 12.89 2.54 1.22 1.27
jvs008 13.07 2.72 1.14 1.14
jvs009 12.81 2.96 1.37 1.30
jvs010 12.95 2.58 1.20 1.17
jvs011 13.38 2.53 1.32 1.07
jvs012 13.11 2.56 1.28 1.16
jvs013 13.45 2.31 1.09 1.13
jvs014 12.76 2.60 1.14 1.14
jvs015 11.25 2.20 0.99 1.06
jvs016 13.94 2.69 1.36 1.30
jvs017 14.08 2.72 1.39 1.14
jvs018 15.56 3.67 1.69 1.53
jvs019 12.44 2.44 1.17 1.18
jvs020 10.11 2.23 1.04 0.99
jvs021 12.44 2.19 1.07 1.06
jvs022 12.85 2.78 1.22 1.34
jvs023 10.92 2.32 0.96 1.00
jvs024 12.80 2.48 1.22 1.16
jvs025 14.72 2.90 1.39 1.38
jvs026 11.87 2.36 1.18 0.98
jvs027 13.39 2.82 1.30 1.28
jvs028 13.51 2.83 1.21 1.24
jvs029 12.58 2.45 1.12 1.21
jvs030 12.65 2.72 1.17 1.26
jvs031 11.67 2.22 1.23 1.14
jvs032 11.28 2.18 1.16 1.07
jvs033 11.86 2.39 1.09 1.12
jvs034 12.58 2.45 1.14 1.02
jvs035 16.41 3.19 1.48 1.61
jvs036 16.27 3.86 1.67 1.50
jvs037 11.56 2.35 1.09 1.03
jvs038 12.42 2.59 1.34 1.25
jvs039 13.20 2.50 1.08 1.09
jvs040 14.56 2.74 1.37 1.13
jvs041 13.59 2.49 1.26 1.19
jvs042 12.36 2.39 1.15 1.07
jvs043 11.72 2.34 1.01 1.04
jvs044 12.56 2.18 1.05 1.10
jvs045 11.68 2.23 0.95 0.90
jvs046 12.82 2.56 1.18 1.17
jvs047 14.76 2.71 1.37 1.48
jvs048 12.57 2.55 1.19 1.15
jvs049 13.65 2.40 1.13 1.19
jvs050 12.11 2.56 1.30 1.36
jvs051 13.16 2.49 1.30 1.19
jvs052 13.98 2.85 1.32 1.25
jvs053 12.69 2.68 1.20 1.14
jvs054 13.14 2.81 1.15 1.19
jvs055 12.98 2.69 1.32 1.19
jvs056 12.05 2.44 1.07 0.96
jvs057 12.85 2.55 1.03 1.20
jvs058 13.98 2.85 1.31 1.23
jvs059 12.48 2.70 1.45 1.36
jvs060 13.47 2.86 1.28 1.20
jvs061 12.03 2.51 1.23 1.06
jvs062 13.68 2.67 1.41 1.30
jvs063 13.31 2.66 1.22 1.16
jvs064 14.58 2.97 1.28 1.33
jvs065 13.65 3.04 1.54 1.20
jvs066 13.07 2.42 1.11 1.08
jvs067 11.52 2.29 1.06 1.10
jvs068 12.40 2.68 1.30 1.16
jvs069 13.39 2.75 1.26 1.32
jvs070 11.54 2.66 1.05 0.98
jvs071 17.52 3.00 1.47 1.39
jvs072 15.53 3.21 1.45 1.22
jvs073 12.71 2.84 1.18 1.06
jvs074 11.59 2.25 1.18 1.06
jvs075 13.99 2.68 1.33 1.43
jvs076 11.21 2.40 1.18 1.09
jvs077 11.87 2.22 1.08 1.00
jvs078 13.34 2.65 1.29 1.10
jvs079 12.37 2.36 1.24 1.14
jvs080 12.78 2.52 1.22 1.28
jvs081 11.41 2.25 0.97 1.09
jvs082 13.15 2.24 1.28 1.19
jvs083 14.78 3.35 1.24 1.09
jvs084 18.24 3.71 1.45 1.23
jvs085 12.85 2.51 1.24 1.07
jvs086 13.67 2.23 1.22 1.01
jvs087 13.61 2.58 1.33 1.20
jvs088 12.64 2.45 1.19 1.12
jvs089 12.56 2.65 1.10 1.16
jvs090 15.15 3.06 1.47 1.39
jvs091 16.04 2.95 1.49 1.45
jvs092 12.90 2.72 1.32 1.13
jvs093 12.89 2.79 1.37 1.12
jvs094 14.75 2.65 1.36 1.31
jvs095 12.84 2.71 1.24 1.14
jvs096 12.80 2.77 1.22 1.15
jvs097 13.14 2.73 1.44 1.09
jvs098 13.13 2.53 1.22 1.18
jvs099 10.37 2.12 1.02 0.96
jvs100 13.67 2.61 1.33 1.22
